id,id_modelo,id_dataset,fecha,accuracy,segundos
1,1,1,2026-04-26,0.839,2.2
2,1,1,2026-02-15,0.714,2.3
3,1,1,2026-02-13,0.797,2.0
4,1,2,2026-01-27,0.732,6.2
5,1,2,2026-04-24,0.805,4.9
6,1,2,2026-05-15,0.716,7.8
7,1,3,2026-02-10,0.788,0.9
8,1,4,2026-05-16,0.766,16.7
9,1,4,2026-06-12,0.716,18.9
10,1,4,2026-03-23,0.772,18.4
11,2,1,2026-03-10,0.87,20.7
12,2,2,2026-01-22,0.842,98.5
13,2,3,2026-06-10,0.905,21.9
14,2,4,2026-01-25,0.843,203.2
15,2,4,2026-05-16,0.83,238.5
16,3,1,2026-03-20,0.93,22.5
17,3,1,2026-02-17,0.926,32.3
18,3,2,2026-04-25,0.884,63.7
19,3,3,2026-06-14,0.868,16.9
20,3,3,2026-04-13,0.854,15.9
21,3,4,2026-05-19,0.853,213.3
22,3,4,2026-01-16,0.895,335.6
23,3,4,2026-05-13,0.937,269.1
24,4,1,2026-02-24,0.99,79.4
25,4,2,2026-04-12,0.922,273.9
26,4,2,2026-02-28,0.864,160.7
27,4,3,2026-02-28,0.903,43.1
28,4,3,2026-05-14,0.864,39.5
29,4,4,2026-05-17,0.871,761.5
30,4,4,2026-02-27,0.884,688.4
31,4,4,2026-05-12,0.896,751.0
32,5,1,2026-01-11,0.964,41.8
33,5,1,2026-04-18,0.826,69.4
34,5,1,2026-05-25,0.857,56.7
35,5,2,2026-02-17,0.757,295.8
36,5,2,2026-06-12,0.847,221.3
37,5,3,2026-01-18,0.883,46.5
38,5,3,2026-02-11,0.957,37.5
39,5,4,2026-02-12,0.879,627.3
40,6,1,2026-04-20,0.869,28.7
41,6,1,2026-02-28,0.792,39.9
42,6,2,2026-04-21,0.772,181.8
43,6,3,2026-04-12,0.839,27.5
44,6,3,2026-03-14,0.828,29.1
45,6,4,2026-06-14,0.88,437.7
