categoria,publico,margen
TRAVEL,joven,0.21
  mystery,joven,0.38
Historical  Fiction ,joven,0.21
sequential art,infantil,0.39
Classics,infantil,0.43
PHILOSOPHY,infantil,0.43
  romance,adulto,0.18
Fiction ,general,0.23
childrens,general,0.35
Nonfiction,general,0.2
MUSIC,infantil,0.29
  science fiction,infantil,0.18
Fantasy ,general,0.43
young adult,infantil,0.16
Poetry,general,0.34
ART,adulto,0.3
  humor,joven,0.3
Horror ,adulto,0.16
history,adulto,0.25
Business,joven,0.25
BIOGRAPHY,general,0.25
  thriller,joven,0.36
Health ,general,0.17
